CODIGO_ENTIDAD|NOMBRE|TIPO_GESTION|ESTADO_LICENCIAMIENTO|FECHA_INICIO_LICENCIAMIENTO|FECHA_FIN_LICENCIAMIENTO|PERIODO_LICENCIAMIENTO|DEPARTAMENTO|PROVINCIA|DISTRITO|UBIGEO|LATITUD|LONGITUD|FECHA_CORTE
075|UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS|PÚBLICO|LICENCIA OTORGADA|20191014|20251014|6|MADRE DE DIOS|TAMBOPATA|TAMBOPATA|160101|-12.5885658|-69.2095274|20220817
077|UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC|PÚBLICO|LICENCIA OTORGADA|20200205|20260205|6|APURÍMAC|ABANCAY|TAMBURCO|030109|-13.61755584|-72.86815631|20220817
078|UNIVERSIDAD PERUANA DE LAS AMÉRICAS S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|LIMA|140101|-12.0630477|-77.0380365|20220817
081|UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|LINCE|140111|-12.08794324|-77.03352126|20220817
083|UNIVERSIDAD PRIVADA TELESUP S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|LIMA|140101|-12.0640089|-77.0345749|20220817
045|UNIVERSIDAD SAN PEDRO|PRIVADO|LICENCIA DENEGADA|||0|ÁNCASH|SANTA|CHIMBOTE|021301|-9.076107052|-78.5944451|20220817
048|UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI|PRIVADO|LICENCIA DENEGADA|||0|MOQUEGUA|MARISCAL NIETO|MOQUEGUA|170101|-17.1900294|-70.9423867|20220817
050|UNIVERSIDAD CIENTÍFICA DEL PERÚ|PRIVADO|LICENCIA DENEGADA|||0|LORETO|MAYNAS|SAN JUAN BAUTISTA|150113|-3.769188297|-73.28203694|20220817
053|UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE|PRIVADO|LICENCIA DENEGADA|||0|ÁNCASH|SANTA|CHIMBOTE|021301|-9.073847881|-78.59355615|20220817
064|UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.|PRIVADO|LICENCIA OTORGADA|20191107|20251107|6|LIMA|LIMA|CHORRILLOS|140108|-12.19647398|-77.0055825|20220817
074|UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI|PRIVADO|LICENCIA OTORGADA|20190225|20250225|6|LA LIBERTAD|TRUJILLO|MOCHE|120104|-8.160289281|-79.0114454|20220817
085|UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|CAÑETE|SAN VICENTE DE CAÑETE|140401|-13.07308595|-76.36939859|20220817
086|UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|UCAYALI|CORONEL PORTILLO|CALLERIA|250101|-8.388089|-74.531292|20220817
090|UNIVERSIDAD PRIVADA DE TRUJILLO|PRIVADO|LICENCIA DENEGADA|||0|LA LIBERTAD|TRUJILLO|LAREDO|120103|-8.1081445|-78.99437|20220817
091|UNIVERSIDAD PRIVADA SAN CARLOS S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|PUNO|PUNO|PUNO|200101|-15.8395008|-70.0295166|20220817
092|UNIVERSIDAD PERUANA SIMÓN BOLÍVAR S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|PUEBLO LIBRE|140117|-12.0715043|-77.0510267|20220817
094|UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LORETO|MAYNAS|SAN JUAN BAUTISTA|150113|-3.771757644|-73.28343169|20220817
099|UNIVERSIDAD PRIVADA JUAN MEJÍA BACA S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LAMBAYEQUE|CHICLAYO|CHICLAYO|130101|-6.767749946|-79.83256828|20220817
102|UNIVERSIDAD PERUANA DEL CENTRO|PRIVADO|LICENCIA DENEGADA|||0|JUNÍN|HUANCAYO|HUANCAYO|110101|-12.0330464|-75.237332|20220817
103|UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|LIMA|140101|-12.0739859|-77.0358612|20220817
105|UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT S.A.C.|PRIVADO|LICENCIA OTORGADA|20190612|20250612|6|JUNÍN|HUANCAYO|HUANCAYO|110101|-12.06559636|-75.20483786|20220817
106|UNIVERSIDAD NACIONAL DE FRONTERA|PÚBLICO|LICENCIA OTORGADA|20190410|20250410|6|PIURA|SULLANA|SULLANA|190601|-4.909982224|-80.7284411|20220817
111|UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|AREQUIPA|AREQUIPA|YANAHUARA|040123|-16.4029451|-71.5456437|20220817
112|UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|AYACUCHO|HUAMANGA|AYACUCHO|050101|-13.1483009|-74.228788|20220817
114|UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|CUSCO|CUSCO|CUSCO|070101|-13.52546307|-71.95167842|20220817
115|UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|AREQUIPA|AREQUIPA|TIABAYA|040120|-16.4495719|-71.600257|20220817
116|UNIVERSIDAD SAN ANDRÉS S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|INDEPENDENCIA|140134|-11.990606|-77.0598606|20220817
117|UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|BREÑA|140104|-12.0563001|-77.044063|20220817
118|UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LIMA|LIMA|ATE|140103|-12.0211306|-76.9037173|20220817
119|UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.|PRIVADO|LICENCIA DENEGADA|||0|LA LIBERTAD|TRUJILLO|TRUJILLO|120101|-8.1151|-79.03194|20220817
